chg01,chg02,chg03,chg04,chg05,chg06,chg07,chg08,chg09,chg0a,chg0b,chg0c,chg0d,chg0e,chg0f,chg0g,chg0h,chg0j
#400 - JPJ Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,10,15/11/2021,20/09/2022,Awaiting Budget approval (expected dd/mm/2019),posse ullamcorper vislatine duis saepe his,https://www.visualcinnamon.com/portfolio/traffic-accidents,TBC,TBC,TBC,TBC
#432 - LPI Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,7,15/12/2019,08/11/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",consectetur ipsum duisofficia exercitation dolore proident,https://www.visualcinnamon.com/portfolio/cardcaptor-sakura,TBC,TBC,TBC,TBC
#480 - ILP Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,8,15/12/2021,12/10/2022,next IOB meeting (scheduled: dd/mm/2019),nulla sunt easuscipit aut aperiam nisi,https://www.visualcinnamon.com/portfolio/baby-spike,TBC,TBC,TBC,TBC
#432 - RHG Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,9,15/07/2021,07/05/2022,next IOB meeting (scheduled: dd/mm/2019),omnis et doloret sunt nihil et,https://www.visualcapitalist.com/biggest-public-companies-in-the-world-2022,TBC,TBC,TBC,TBC
#240 - PMJ Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/12/2021,06/11/2022,approval from psc,tincidunt choro utchoro aeque scaevola discere,https://www.visualcapitalist.com/all-of-the-worlds-money-and-markets-in-one-visualization-2022,TBC,TBC,TBC,TBC
#464 - HLJ Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/09/2020,03/11/2021,Benefits signoff w' sponsor,bonorum malorum malorumfinibus bonorum de malorum,https://www.visualcapitalist.com/infographic-the-longest-lasting-cars-in-miles,TBC,TBC,TBC,TBC
#416 - KGL Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,5,15/09/2021,08/11/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",ne epicuri meinec sit no mei,https://www.visualcapitalist.com/cp/visualizing-sp-500-performance-in-2022-by-sector,TBC,TBC,TBC,TBC
#304 - MKR Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/05/2019,14/02/2022,approval from psc,ad soleat veniammea et pro tibique,https://www.visualcapitalist.com/shrinking-trillion-dollar-market-cap-club,TBC,TBC,TBC,TBC
#480 - PLF Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,14,15/12/2021,15/07/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",quidam minimum anaperiri minimum mentitum quaerendum,https://www.visualcapitalist.com/sp/introducing-the-2022-sustainable-trade-index,TBC,TBC,TBC,TBC
#240 - NNE Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,6,15/07/2022,27/06/2022,Awaiting Budget approval (expected dd/mm/2019),principes option euelitr eam habemus eum,https://www.visualcapitalist.com/best-and-worst-performing-us-stock-market-sectors-2022,TBC,TBC,TBC,TBC
#240 - OFQ Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,5,15/06/2021,12/11/2021,"pending IQA review, PM follow-up NLT dd/mm/2019",esse cum idadipiscing no comprehensam pertinacia,https://www.visualcinnamon.com/portfolio/breathing-earth,TBC,TBC,TBC,TBC
#288 - JPN Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,11,15/09/2021,24/09/2023,next IOB meeting (scheduled: dd/mm/2019),aliquando qui perfectoin docendi at democritum,https://www.visualcinnamon.com/portfolio/royal-constellations,TBC,TBC,TBC,TBC
#320 - QFK Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,13,15/05/2022,20/04/2022,Benefits signoff w' sponsor,hinc explicari nibhnonumy falli intellegat vix,https://www.visualcinnamon.com/portfolio/body-temperature,TBC,TBC,TBC,TBC
#288 - INR Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,11,15/08/2021,08/11/2021,approval from psc,cicero aquidem placeat eveniet deleniti,https://www.visualcinnamon.com/portfolio/phone-brand-switching,TBC,TBC,TBC,TBC
#240 - QHO Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,12,15/09/2019,27/10/2023,approval from psc,quo epicuri eaid augue ad dignissim,https://www.visualcinnamon.com/portfolio/highly-hazardous-pesticides,TBC,TBC,TBC,TBC
#432 - FHP Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,10,15/07/2021,01/07/2023,approval from psc,insolens eloquentiam visbonorum in bonorum vis,https://www.visualcinnamon.com/portfolio/gravitational-waves,TBC,TBC,TBC,TBC
#432 - GLJ Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,16,15/03/2020,25/01/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",id nulla dolorsint irure id fugiat,https://www.visualcinnamon.com/portfolio/hubble-30-years,TBC,TBC,TBC,TBC
#272 - PHE Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,12,15/03/2022,26/10/2023,Benefits signoff w' sponsor,quam eum isteipsa est qui voluptas,https://www.visualcinnamon.com/portfolio/sciam-satellite-surge,TBC,TBC,TBC,TBC
#272 - KFR Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,5,15/05/2022,25/04/2022,Awaiting Budget approval (expected dd/mm/2019),quos et veroquas harum nam rerum,https://www.visualcinnamon.com/portfolio/the-freedom-of-expression,TBC,TBC,TBC,TBC
#240 - MMH Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,6,15/07/2022,11/10/2023,Awaiting Budget approval (expected dd/mm/2019),te graecis regioneferri at in discere,https://www.visualcinnamon.com/portfolio/figures-in-the-stars,TBC,TBC,TBC,TBC
#432 - FON Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,10,15/05/2022,22/11/2022,next IOB meeting (scheduled: dd/mm/2019),malorum malorum malorumde et bonorum malorum,https://www.visualcinnamon.com/portfolio,TBC,TBC,TBC,TBC
#336 - NGM Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/05/2021,12/12/2023,next IOB meeting (scheduled: dd/mm/2019),ea nec videagam nisl vituperata oportere,https://www.visualcinnamon.com/portfolio/a-year-in-flights,TBC,TBC,TBC,TBC
#384 - QQM Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,11,15/10/2021,20/08/2022,next IOB meeting (scheduled: dd/mm/2019),corpora an partiendoscriptorem at sea nihil,https://www.visualcinnamon.com/portfolio/fights-dragon-ball-z,TBC,TBC,TBC,TBC
#384 - OHQ Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,9,15/10/2020,02/05/2023,Awaiting Budget approval (expected dd/mm/2019),id aperiri idaperiri pro tation an,https://www.visualcinnamon.com/portfolio/landscape-of-power-flows,TBC,TBC,TBC,TBC
#400 - GJE Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/11/2020,24/09/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",ad aeterno euismodpersius option cibo vim,https://www.visualcinnamon.com/portfolio/small-world-of-words,TBC,TBC,TBC,TBC
#320 - ONL Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,4,15/07/2020,24/03/2023,Benefits signoff w' sponsor,te ea noadipiscing sea summo mei,https://www.visualcinnamon.com/portfolio/sony-music-data-art,TBC,TBC,TBC,TBC
#288 - MEF Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,7,15/07/2022,15/10/2023,Benefits signoff w' sponsor,eum at quivis illum no deserunt,https://www.visualcinnamon.com/portfolio/top2000,TBC,TBC,TBC,TBC
#400 - REK Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,11,15/09/2019,25/09/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",deseruisse natum porronibh nibh natum porro,https://www.visualcinnamon.com/portfolio/oecd-global-plastics-outlook,TBC,TBC,TBC,TBC
#464 - NIG Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,4,15/10/2019,13/11/2022,next IOB meeting (scheduled: dd/mm/2019),malorum of bonorum de,https://www.visualcinnamon.com/portfolio/why-do-cats-and-dogs,TBC,TBC,TBC,TBC
#448 - IJR Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,4,15/05/2022,15/11/2022,next IOB meeting (scheduled: dd/mm/2019),in ad eripuitex epicuri vel vel,https://www.visualcinnamon.com/portfolio/urbanization,TBC,TBC,TBC,TBC
#320 - NGP Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,6,15/09/2019,12/12/2023,Benefits signoff w' sponsor,malorum finibus dede finibus malorum de,https://d3-graph-gallery.com/interactivity.html,TBC,TBC,TBC,TBC
#352 - RNE Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,8,15/09/2019,30/09/2023,Benefits signoff w' sponsor,sit nec agamsit mea case ea,https://d3-graph-gallery.com/pie.html,TBC,TBC,TBC,TBC
#320 - GPL Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,14,15/01/2022,13/12/2022,Awaiting Budget approval (expected dd/mm/2019),an contentiones usuat virtute vidit nihil,https://d3-graph-gallery.com/donut.html,TBC,TBC,TBC,TBC
#352 - MQJ Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,8,15/07/2022,24/05/2022,Benefits signoff w' sponsor,prompta mentitum hasaperiri te pro quaerendum,https://d3-graph-gallery.com/treemap.html,TBC,TBC,TBC,TBC
#384 - GRO Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/02/2020,10/05/2022,Awaiting Budget approval (expected dd/mm/2019),ea principes quaseam vix eos aeterno,https://d3-graph-gallery.com/graph/circularpacking_template.html,TBC,TBC,TBC,TBC
#288 - JJF Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,6,15/03/2022,08/04/2023,next IOB meeting (scheduled: dd/mm/2019),ea no seasea pri id natum,https://d3-graph-gallery.com/circularpacking.html,TBC,TBC,TBC,TBC
#448 - KLQ Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,8,15/10/2021,24/07/2023,approval from psc,qui deserunt noperpetua meis latine instructior,https://d3-graph-gallery.com/custom.html,TBC,TBC,TBC,TBC
#368 - HQO Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,13,15/08/2019,08/08/2023,Benefits signoff w' sponsor,an mel teet audiam mazim porro,https://d3-graph-gallery.com/intro_d3js.html,TBC,TBC,TBC,TBC
#336 - FJQ Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,11,15/05/2021,18/03/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",bonorum by desection cicero written bonorum,https://d3-graph-gallery.com/streamgraph.html,TBC,TBC,TBC,TBC
#256 - QPL Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,7,15/01/2020,15/10/2021,approval from psc,quo no veldico deserunt eum augue,https://d3-graph-gallery.com/network.html,TBC,TBC,TBC,TBC
#464 - RJQ Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,6,15/10/2021,24/12/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",integre sed saepebonorum facilis prima cum,https://www.visualcinnamon.com/portfolio/the-freedom-of-expression,TBC,TBC,TBC,TBC
#416 - MNI Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/03/2022,28/09/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",ut qui sintvelit ut qui ut,https://www.visualcinnamon.com/portfolio/urbanization,TBC,TBC,TBC,TBC
#480 - IGK Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,9,15/07/2019,17/12/2023,next IOB meeting (scheduled: dd/mm/2019),nemo perspiciatis quivel ea aut error,https://d3-graph-gallery.com/graph/area_smallmultiple.html,TBC,TBC,TBC,TBC
#432 - HKQ Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,12,15/04/2020,29/03/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",et eos eligendidignissimos quas hic earum,https://d3-graph-gallery.com/graph/area_basic.html,TBC,TBC,TBC,TBC
#384 - QQN Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,9,15/10/2019,18/01/2022,Benefits signoff w' sponsor,possit velit tinciduntan vis vis scaevola,https://d3-graph-gallery.com/area.html,TBC,TBC,TBC,TBC
#304 - GFM Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/04/2022,11/05/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",malorum malorum finibusmalorum malorum et et,https://d3-graph-gallery.com/graph/line_color_gradient_svg.html,TBC,TBC,TBC,TBC
#480 - PEG Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,14,15/10/2021,20/09/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",ea elit prout comprehensam has eos,https://d3-graph-gallery.com/graph/shape.html,TBC,TBC,TBC,TBC
#480 - LEG Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,4,15/11/2019,07/01/2022,next IOB meeting (scheduled: dd/mm/2019),vidit liber tibiqueat partiendo at possit,https://www.data-to-viz.com/caveats.html,TBC,TBC,TBC,TBC
#352 - QPN Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,7,15/10/2020,11/11/2023,approval from psc,quaerendum graeci aperirimel stet ex pro,https://d3-graph-gallery.com/line.html,TBC,TBC,TBC,TBC
#464 - JRI Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/03/2020,03/05/2023,Awaiting Budget approval (expected dd/mm/2019),id vim necea eam no antiopam,https://www.visualcinnamon.com/portfolio/top2000,TBC,TBC,TBC,TBC
#480 - EHQ Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,9,15/09/2021,11/11/2022,Awaiting Budget approval (expected dd/mm/2019),no vim easea cum vix et,https://www.visualcinnamon.com/portfolio/kantar-motivemix,TBC,TBC,TBC,TBC
#464 - RGE Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,7,15/09/2021,18/09/2022,approval from psc,in instructior etper eum instructior ius,https://d3-graph-gallery.com/sankey.html,TBC,TBC,TBC,TBC
#272 - NKI Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,8,15/06/2022,23/12/2023,Awaiting Budget approval (expected dd/mm/2019),omittam perpetua nibhessent no nonumy sea,https://www.visualcinnamon.com/portfolio/new-york-times-digital-trackers,TBC,TBC,TBC,TBC
#464 - EPG Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/12/2019,02/04/2023,Benefits signoff w' sponsor,bonorum of finibussia,https://www.visualcinnamon.com/portfolio,TBC,TBC,TBC,TBC
#320 - OMI Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,5,15/06/2020,18/02/2023,approval from psc,no ad posteavim ad epicuri possit,https://www.visualcinnamon.com/portfolio/sciam-fermi-paradox,TBC,TBC,TBC,TBC
#416 - MKR Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,11,15/12/2020,29/12/2023,approval from psc,epicuri duis epicurinatum eos eloquentiam eos,https://www.visualcinnamon.com/portfolio/top-2000-let-music-play,TBC,TBC,TBC,TBC
#240 - OLH Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,16,15/07/2020,29/01/2023,Benefits signoff w' sponsor,non dolore fugiatdolor dolore esse eiusmod,https://www.visualcinnamon.com/portfolio/new-york-times-digital-trackers,TBC,TBC,TBC,TBC
#384 - LNO Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,15,15/06/2020,16/10/2023,Awaiting Budget approval (expected dd/mm/2019),quae omnis dolorsuscipit velit veritatis voluptatem,https://d3-graph-gallery.com/intro_d3js.html,TBC,TBC,TBC,TBC
#432 - QML Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/05/2022,25/09/2022,Benefits signoff w' sponsor,culpa ut rerumaut molestiae optio repellat,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#400 - NLQ Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,13,15/01/2020,06/05/2023,approval from psc,nec cum eidicant graecis ei disputando,https://d3-graph-gallery.com/stackedarea.html,TBC,TBC,TBC,TBC
#448 - IEP Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,4,15/04/2022,31/07/2023,approval from psc,malorum et etet malorum malorum de,https://elements.visualcapitalist.com/largest-oil-producers,TBC,TBC,TBC,TBC
#400 - PQP Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,5,15/06/2020,25/01/2022,next IOB meeting (scheduled: dd/mm/2019),vituperata definitiones nehas altera sit ius,https://www.visualcapitalist.com/cp/visualizing-sp-500-performance-in-2022-by-sector,TBC,TBC,TBC,TBC
#464 - LFM Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,5,15/02/2021,03/12/2021,next IOB meeting (scheduled: dd/mm/2019),corpora nihil atferri signiferumque et vim,https://www.visualcapitalist.com/mapped-the-salary-you-need-to-buy-a-home-in-50-u-s-cities,TBC,TBC,TBC,TBC
#384 - KRL Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,4,15/12/2019,27/08/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",has pro quidamid id mea mei,https://www.visualcapitalist.com/problems-with-media,TBC,TBC,TBC,TBC
#288 - IOJ Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,4,15/11/2019,22/09/2023,Benefits signoff w' sponsor,habemus id habemusea cibo et temporibus,https://www.visualcapitalist.com/best-and-worst-performing-us-stock-market-sectors-2022,TBC,TBC,TBC,TBC
#288 - IIO Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,12,15/07/2021,13/06/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",no natum seaalienum qui summo nostro,https://www.visualcapitalist.com/map-explainer-ukraine,TBC,TBC,TBC,TBC
#448 - FRL Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,13,15/08/2020,23/10/2022,Awaiting Budget approval (expected dd/mm/2019),instructior ex meisdeserunt latine malorum illum,https://www.visualcinnamon.com/portfolio,TBC,TBC,TBC,TBC
#480 - IPG Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/10/2019,10/10/2023,Awaiting Budget approval (expected dd/mm/2019),duo at nihilmel nibh lobortis nibh,https://www.visualcinnamon.com/portfolio/the-freedom-of-expression,TBC,TBC,TBC,TBC
#448 - FFO Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,6,15/02/2021,07/03/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",malorum infinibus et cicero et,https://www.visualcinnamon.com/portfolio/kantar-motivemix,TBC,TBC,TBC,TBC
#480 - FHJ Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,8,15/10/2021,07/06/2023,approval from psc,his in epicuridignissim verterem vim id,https://www.visualcinnamon.com/portfolio/lighthouse-reports-frontex,TBC,TBC,TBC,TBC
#368 - POG Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,9,15/04/2022,16/12/2021,Awaiting Budget approval (expected dd/mm/2019),no his visullamcorper integre eripuit probatus,https://www.visualcinnamon.com/portfolio/new-york-times-digital-trackers,TBC,TBC,TBC,TBC
#432 - LOL Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/03/2022,08/10/2023,next IOB meeting (scheduled: dd/mm/2019),ipsum aute dodolor nulla ut amet,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#400 - QNM Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,8,15/01/2022,26/05/2022,Awaiting Budget approval (expected dd/mm/2019),velit beatae nequeeius ab ea eum,https://www.visualcinnamon.com/portfolio/adyen-report-2019,TBC,TBC,TBC,TBC
#384 - KMI Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,4,15/11/2020,07/04/2023,approval from psc,omnis nihil iustofuga et dolorum odio,https://www.visualcinnamon.com/portfolio/janssen-product-portfolio,TBC,TBC,TBC,TBC
#480 - KJN Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,8,15/03/2021,02/06/2023,next IOB meeting (scheduled: dd/mm/2019),alterum eu eieu discere scaevola dolorum,https://d3-graph-gallery.com/bundle.html,TBC,TBC,TBC,TBC
#400 - JHF Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,6,15/03/2020,14/10/2022,approval from psc,malorum bonorum bonorum et,https://d3-graph-gallery.com/graph/arc_vertical.html,TBC,TBC,TBC,TBC
#480 - FRR Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/10/2019,15/06/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",no oportere meisuas mea epicurei apeirian,https://d3-graph-gallery.com/graph/arc_basic.html,TBC,TBC,TBC,TBC
#336 - QKM Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,8,15/12/2019,05/06/2023,Benefits signoff w' sponsor,sea soleat adpartiendo porro contentiones sea,https://d3-graph-gallery.com/graph/arc_highlight.html,,,,
#448 - OKQ Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,12,15/12/2019,20/01/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",in eloquentiam idvis et alia mea,https://d3-graph-gallery.com/chord.html,TBC,TBC,TBC,TBC
#304 - NPR Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,7,15/06/2020,18/05/2022,next IOB meeting (scheduled: dd/mm/2019),commodo ut adconsectetur et fugiat eiusmod,https://d3-graph-gallery.com/network.html,TBC,TBC,TBC,TBC
#432 - EMK Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,9,15/07/2021,29/12/2021,"pending IQA review, PM follow-up NLT dd/mm/2019",fugiat ullam consequaturiste numquam quia neque,https://d3-graph-gallery.com/sankey.html,TBC,TBC,TBC,TBC
#416 - RMQ Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,10,15/09/2020,03/03/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",autem maiores etsunt autem assumenda eveniet,https://d3-graph-gallery.com/arc.html,TBC,TBC,TBC,TBC
#272 - EPE Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,9,15/11/2020,06/05/2023,next IOB meeting (scheduled: dd/mm/2019),an te possitdolores ut disputando vis,https://d3-graph-gallery.com/bundle.html,TBC,TBC,TBC,TBC
#416 - KKP Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,7,15/09/2022,15/10/2023,next IOB meeting (scheduled: dd/mm/2019),et de bonorumet et malorum malorum,https://www.visualcinnamon.com/portfolio/lighthouse-reports-frontex,TBC,TBC,TBC,TBC
#304 - NNO Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,8,15/05/2021,06/12/2021,approval from psc,comprehensam pro videhas suas persius nisl,https://www.visualcinnamon.com/portfolio/top2000,TBC,TBC,TBC,TBC
#240 - ROK Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,13,15/02/2021,02/02/2022,approval from psc,vidit at porropartiendo liber et ferri,https://d3-graph-gallery.com/stackedarea.html,TBC,TBC,TBC,TBC
#384 - JFO Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,7,15/10/2019,23/02/2022,Benefits signoff w' sponsor,gloriatur an tegraeci per graeci quaerendum,https://d3-graph-gallery.com/graph/area_lineDot.html,TBC,TBC,TBC,TBC
#432 - OFH Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,11,15/05/2021,27/02/2022,next IOB meeting (scheduled: dd/mm/2019),eam eos eaadversarium unum eam probo,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#368 - HJR Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,7,15/06/2020,01/09/2023,Benefits signoff w' sponsor,mei te deseruntno sanctus deserunt summo,https://www.visualcinnamon.com/portfolio/swayable-preferential-polling,TBC,TBC,TBC,TBC
#352 - QFG Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,6,15/07/2019,28/05/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",in democritum deseruntmeis latine perfecto at,https://www.visualcinnamon.com/2015/01/the-top-2000-equalizer-songs,TBC,TBC,TBC,TBC
